BadPost
"If the cast of Love Live! Sunshine!! all turned into sea creatures, would you store them in an Aqour-ium?  And If the same thing happened to the original cast, wouldn't that also be pretty a-Muse-ing?"
Would a yakkai Watanabe chant be YOU S A YOU S A YOU S A?
"If you didn't have any Love Live plushies, would you be feeling Neso-late?"
"If Ohara is your waifu, does that mean you want to Mari her?"
Would a Ruby neso be considered an Ai-doll?
Would a Nico plush be considered a NIIIIIIIso?
"If you were intimidated or surprised by Eli's sub-unit, would you feel BiBi-ta?"
"If Chika made steamed buns, would they be M-Anjus?"
"If Dia sold merch at a concert and made fun of what you bought, would that be a BUU-BUU-ppan (desuwa)?"
"If there was a public display building filled with stuff from the first LL group, would that be a Muse-eum?  Or would it be a Muse-oleum instead?"
"If Azoland managed to come back and do the LLFES DVs, would that show their dead-ication?"
"If Kunikida treated someone badly, would she be Ma-rude?"
"When Hoshizora grows old, will she grow Rin-kles?"
"If the Bandori gothic band became fish eggs, would they be called Roe-selia?"
"If Eli, Nico, and Maki became flying insects, would they be called Bee-Bee?"
"If Honoka Hanayo, and Kotori went into the bird cleaning/presentation business, would they be called Preen-temps?"
"If there was Yazawa themed rope-like candy, would it be called Nico-rice?"
"If you had a foot fetish and Leah was your oshi, would you call her VA Hinata Sa-toe?"
"When Ruby's sister sings, does she use her Dia-phram?"
Would a Kosaka itasha be called a Honocar?
"If you were enlarging a picture of Sonoda, would you be z-Umi-ng in on her?"
Would a fake Nishikino be called a Mock-i?
"If you dislike Kidani's company, would you call them Booooo-shiroad?"
Would a group of Minami oshis be considered a Kotori-e?
"If Minami took off her socks, would you be able to see her Ko-toe-ries?"
Would a Yazawa themed server be called a Nicord?  Or how about NICO NICO NIIIIIIIIcord?
"If an Aqours member had a foot fetish, would they attend Urano-toe-shi?"
"If Kunikida became a laughing stock, would she be called Hahamaru?"
"Now, if a Muse member had a foot fetish, would they attend O-toe-nokizaka?"
"If Aqours' AX 2018 concert featured cats, would it be called Beyond the Pussy-fic?"
"Since Liquet's car features Hanamaru, would it be considered an eat-asha?"
"If Dia felt sorrow for her younger sister, would she call her Rue-by?"
"If Nakasu used a lot of bad language, would she be called Cuss-umi"
"If you wanted to own a ton of Bushiroad merch, would selling a Kid(a)ni be an option?"
"If Toujou went at super fast speeds, would she be called No-zoom-i?"
"If 346 Production did evil deeds, would they be called Sin-derella Girls?"
"If 346 Production were on fire (figuratively), would they be called Cinder-ella Girls?"
Could you say that Hatate gets A-RISE out of my idol puns?
"If PoPiPa's drummer was known for pitying, would she be called sigh-a?"
"For today's pun, I'm going to wish everyone a Mari Christmas"
"If Rin became a manager, would her VA be called Riho Lead-a?"
"If You was confused a lot, would she be called What-anabe?"
"If Roselia's bass guitarist rented out things, would she be called Lease-a?"
"If you were to challenge PoPiPa's bass guitarist in something, but neither side won, would it be a Tae?"
"If Sonoda was going to apologize to someone, would she say s-Umi-masen?"
"If Roselia's singer was known for opening locks, would she be called Yu-key-na?"
Happi New Year!
"If Dia's sister turned into a marsupial, would she be a Kanga-Ruby?"
"If Ruby's sister imposed herself in all directions, would she have a ra-Dia-l aura?"
"If Bandori's main group wore cat suits, would they be Paw-pin' Party?"
"If Watanabe did a silly sounding, rapid pitch changing type of singing, would it be considered You-deling?"
"If you put Ayase between 2 pieces of bread with meats, cheese, and veggies, would it be a d-Eli sandwich?"
"If Watanabe took over Japan's capital, would it become Tok-You?"
"If the sunset themed bandori group got into plants, would they become After-grow?"
"If you had a foot fetish for You, would you call her VA Shoe-ka Sai-toe?"
"If Nishikino turned into a flying animal, would she be a Maki-ng Bird?"
"If you threw a birthday party for Ayase, would it be a c-Eli-bration?"
"If you put Ayase between 2 pieces of bread with peanut and grape spreads, would it be a peanut butter and j-Eli sandwich?"
"If Ohara became a flower, would she be a Mari-gold?"
"If Aqours's hometown was renovated or rebuilt, would it become New-mazu?"
Would a Takami itasha be called a Chi-car?
"If you went to Sakurauchi's house on Halloween, would you say t-Riko-treat?"
"If the Love Live seiyuu started eating during LLFES, would it become Love Live Feast-ival?"
"If the Love Live seiyuu started having a tea party during LLFES, would it become Love Live Fes-tea-val?"
"If Kanan became a dog, would she be called Mutt-sura?"
"If Uehara became a cow, would she be Ayu-moo?"
"If Revue Starlight took place where Comiket is, would it become Odaiba Nana?"
"If Asaka was known for kindness, would she be Care-in?"
"If Kousaka became a farmer, would she be Hoe-noka?"
"If Rina's robot face was made out of the same material as cans, would she be Tin-noji?"
"If LL had a theme of true vs. false, would it be Love Lie-ve?"
"If CHU2's band was themed after rolling objects, would they be called Raise a S-wheel-an?"
"If Yoshiko was carrying out an evil plan, would she be Tsu-scheme-a?"
"If Mari's VA became a sight specialist, would she be Eye-nya?"
"If Sonoda was a flower, would she end up bl-Umi-ng?"
Why did Takami cross the road?  Because she was pretending to be a Chika-n
"If Matsuura was into tricking people, would she be Con-an?"
"If Sakurauchi was a spy, would she be doing Riko-n?"
"If Saint Snow played silly buzzing instruments during their performances, would they be the Kazoo-no sisters?"
"If Dia and Ruby became black birds, would they be the crow-sawa sisters?"
"If you were watching something featuring Ayase, would that be considered t-Eli-vision?"
"If Miyashita had a major road themed after her, would it be a h-Ai-way?"
"If a certain penlight company made an itasha, would it be a Lumicar?"
"If Saint Snow were buzzing insects, would they tell you to Bee-lieve Again?  Would they also tell you to Bee Wild, Again?"
"If there was a national seiyuu competition, would it be called the idolympics?"
"If you were sexually attracted to Sonoda, would you end up c-Umi-ng to her?"
"If Kira from A-RISE played a certain brass instrument, would she be Tuba-sa?"
"If Riko's laser was made out of Astolfo plushies, would it be a RIKO BEEEEEEEEEEEEEEEEEEAN?"
Would someone with a Yohane complex be called a Yoshi-con?
"If Dia's sister was a buzzing insect, would she be a Ru-bee?"
"If there was an island dedicated to the most popular Aqours ship, would it be called Yo-shima(ru)?"
"If Maki wasn't that well known, would she be called Niche-kino?"
"If Hatate was an oshi of a city, would it be Chika-go?"
"If Chika was a God, would she be Ta-Kami?"
"If Roselia's vocalist was known for being eager, would she be Yu-keen-a?"
"If the most well-known virtual idol was weak, would she be called Meek-u?"
"If Kanan's VA had smooth moves, would she be Suwa-ve?"
"If Watanabe said goodbye to you, would she say sa-You-nara?"
"If you made You themed hot pot, would it be Wata-nabe?"
"If there was a monument dedicated to the death of the Aqours subunit composed of Dia, Hanamaru, and Kanan, would it be a m-Azalea-m?"
"If you made a yummy meal themed after Ayase, would it be d-Eli-cious?"
"If you made a bath toy themed after Dia's sister, would it be a Ruby-r ducky?"
"If Verde was in trouble, would it be a dil-Emma?  And if it was severe trouble, would it instead be an Emma-gency?"
"If Nozomi had a foot fetish, would she be Toe-jou?"
"If the first LL group all became cats, would they be called Mew-s?"
"If Kotori was snacking a lot, would she be Mi-nom-i?"
"If Sonoda were stupid, would she be a d-Umi?"
"If Riho Iida's appearance at ACEN was cancelled due to Coronavirus, would she be RIP-pi?"
"If Watanabe turned into Mario's green dinosaur, would she be You-shi?"
"If Bandori's new band was able to transform, would they be Morph-onica?"
"If Yoshiko became raw fish, would she be Sushi-ma?"
"Since Kunikida is known for snacking/eating, wouldn't a good nickname be Ha-nom-aru?"
"If Tennouji had nothing to do, would that be called Rina-chan Bored?"
Would a one of a kind Hanamaru be called K-unique-ida?
"If Yuki became a fish, would she be Se-tuna?"
"If the new Love Live group were drunks, would they be called Nijiga-sake?"
"If Kanan took after Hanamaru, would she be Mat-zura?"
"If Matsuura disguised herself, would she be Kananymous?"
Would you be able to spread Love Live throughout a barren land by building an Aqours-duct?
"If Honoka's VA was a stay at home weeb, would she be Emi NEET-ta?"
"If Umi's VA was known for joke posts, would she be Suzuko Meme-orin?"
"If Riko performed the most recent bandori concert by herself, would it be Saku-rausch-i und Craziness?"
"If a certain toe lover replaced Nakasu, would he be Kaz-umi?"
"If Dia's sister was swinging in the mid-1900s, would she be G-Ruby?"
"If Ohara joined the military, would she be a Mari-ne?"
"If you were to call Ruby's sister, would you be Dia-ling her?"
"If Toujou had a good sense of smell, would she be Nose-omi?"
"If you simped Aqours' school, would you call it Urano-oshi?"
"If Muse became demons, would one of their best songs be Snow Hell-ation?"
"If Minami took over one of Japan's major cities, would it become Kyoto-ri?"
"During this Coronavirus pandemic, would Hoshizora tell you to Rin-se your hands thoroughly?"
"If Sakurauchi smelled, would she be Reek-o?"
"If Muse's leader was a troublemaker, would she be OH NO-ka?"
"If Takami became a doctor, would she provide Chika-ps?"
"If Uehara was a snacker, would she be A-yum-u?"
"If you attached thrusters to Aqours' hometown, would it become Nyoom-azu?"
If Minami was a Star Wars fan would that make her a KOTOR-i?
"If Yazawa was easily scard, would she be N-EEK-o?"
"If the Bandori goth band joined forces with the new LL group in protecting earth, would they be CYaRosALEA Kiss?"
"If you had a foot fetish for all the Love Live characters, would you call them: Tsushima Toe-shiko, Sakurauchi Ri-toe, Toe-hara Mari, Ku-toe-sawa Ruby, Toe-kami Chika, Watanabe Toe, Kunikida Toe-namaru, Ku-toe-sawa Dia, Kanan Ma-toe-ura, Koizumi Hana-toe, Toe-noka Kousaka, Minami Ko-toe-ri, Toe-shizora Rin, Toe-noda Umi, Toe-jou Nozomi, Toe-shikino Maki, Ayase Toe-li, Yazawa Ni-toe"
"If Ohara was a dessert, would she be a Lemon Mari-ngue pie?"
"If Hanamaru was the one being influenced in the Yoshimaru relationship, would she become Chuuni-kida?"
"If Takami was known for style and fashion, would she be Chic-a?"
"If Tsushima was your favorite, would you call her Oshi-ko?"
"If Minami went moo, would she be Cow-tori?"
"If Yazawa hosted her own convention, would it be called Nicon?  Alternatively, NICO NICO NIIIIIcon?"
"If Ohara had her own giant aquarium, woulld it be a Mari-ne park?"
"If Kanan took over their school, would it become Matsuuranohoshi?"
"If Dia's VA rented out things for a living, would she be A-lease-a?"
"If Sakurauchi started her own company, would it be Ri Co.?"
"If Ruby's sister was in trouble, would it be a Dia-r situation?"
"If Yazawa put herself on the 5 cent coin, would it be a Nico-le?"
What do you call the things Saito Shuka wears on her feet?  Shuka Shoes
Would you be able to control Matsuura on Kanan-d?
"If Toujou was undead, would she be No-zombi?"
"If Yohane was stiff from something, would she be a Da-tense-i?"
"If Watanabe took on a dangerous challenge, would she yell YOU-LO?"
"If Nishikino got dirty, would she be Muck-i?"
"If Rin became a chocolate maker, would she be Hershey-zora?"
"If Ruby's VA smoked weed, would she be High Furihata?"
"If Ohara was an electric sheep pokemon, would she be a Mari-p?"
Would a 3D computer model of Hoshizora be called a Rin-der?
"If Sakurauchi gave you a suggestion for something, would it be a Riko-mmendation?"
Would a Kunikida itasha be called a Honda-maru?
"If Nishikino was used as an unexpected climactic plot device, would it be a Deus Ex Maki-na?"
"If you pulled a jumpscare on Tsushima, would she let out a Yo-shriek-o?"
"If Dia and Ruby were known for making a traditional sauce-rice dish, would they be known as the Curry-sawa sisters?"
Would Ayase oshis consider her to be Eli-te?
Could you say that Yazawa has a lot of tech-Nico?
Would the Aqours 2L graphic overcoat be considered a Happi Party Train?
Would the lottery for Aqours 2L tickets be considered a Choo Chooooo-sen?
"If Ruby's sister was watching what she was eating, would she be on a Dia-t?"
"If the LL Sunshine group did something embarrassing, would that be an Aqour-d situation?"
"If Yazawa dressed up as Santa, would she be Saint Nico-las?"
"If Matsuura visited 4chan, would she be a K-anon?"
"If Rin, Umi, and Nozomi became a rap group, would they be called Lil' E. White?"
"If there was a mystery involving Matsuura, would that be a Kanan-drum?"
Would a delicious Sonoda-themed snack be y-Umi?
Would Love Live plushies that lived millions of years ago be considered di-neso-rs?
"If Yoshiko was stranded on an island with her girlfriend, would she be Hana-marooned?"
"If Osaka was known for a certain milk-based product, would she be Cheese-uku?"
"If Yazawa was featured on the 5? coin, would it be a Nico-l?"
"If Koizumi was a horse, would she be Ha-neigh-yo?"
"If Ruby's sister was a graphics card, would she be an Nvi-Dia?"
"If Kanata, Kasumi, Rina, and Emma went on trial for something, would the judge say ""Order in the Qu4rtz""?"
"If Chika, You, and Ruby said goodbye to McDonald's mascot, would they say ""See ya, Ron""?"
"If Shizuku, Ayumu, and Setsuna wore animal costumes, would they be A-zoo-na?"
"If Heanna from Love Live! Superstar!! was known for eating, would she be con-Sumire?"
"If Chisato from Love Live! Superstar!! was a pirate, would she be Arrrrrr-ashi?"
"If Ohara pulled off an amazing feat, would it be a Mari-cle?"
"If Kousaka had a worrying incident, would she be H-oh-no-ka?"
"If Ruby's sister was in the business for the old type of internet, would it be Dia-lup?"
"If You was known for swimming, would she be Water-nabe?"
"If Karin were to actually step on one of her fans, would they exclaim, ""m-Asaka!""?"
Would Miyashita avatars be considered Ai-cons?
Would a classic board game themed after Takami be called Chika-rs?
"If Uehara was into OwO, would she be Ay-UmU?"
"If Mari acted like Homer Simpson, would she be Doh-hara?"
"If Mari was Texan, would she be Yee-haw-ra?"
"If you placed Emma right side up, would she be Verde-cal?"
"If you made a Nintendo avatar character after Kotori, would it be called Mina-Mii?"
"If you made a custom Kingdom Hearts minigame ship based on Sonoda, would it be a g-Umi ship?"
"If Kasumi was known for eating, would she be Snack-asu?"
Would a Muse themed racing game be called Honokart?
Would a Watanabe-themed string toy be called a You-You?
"If you left Toujou out of something, would that be a Noz-omission?"
"If you themed a fighting ring after Tennoji, would it be an a-Rina?"
Would a Tennoji-themed flute instrument be called an oca-Rina?
Would a Watanabe-themed brass instrument be a You-phonium?
"If you became influenced by Dia's sister, would you say that she's Ruby-ing off on you?"
Would sexy Riko cosplay Himekaidou be called Hot-ate?
"Would a Riko-themed sports ball be called a Soccer-auchi ball?  And on the same token, if she got hurt playing with it, would it be a Soccer-Ouchie?"
Would a Mari-themed desert be called the s-Ohara-h?
Would an Ohara themed carnival ride be called a Mari-Go-Round?
"If you angered Nishikino, would you get a s-Maki-ng?"
"If Watanabe had her own brand of a creamy dairy food, would it be called You-gurt?"
"If Hoshizora was an animal, would she be a Rin-oceros?"
"Would Hanamaru call Kanan, Mat-zura?"
"If you were a devoted follower of Yohane, would you be following the Yoshikode of honor?"
"If Ohara took over the US, would it become A-Mari-ca?"
"If Dia set off purple fireworks of her sister, would they be made out of Ruby-dium?"
"If Kunikida had her own spinoff game of a certain Italian plumber, would it be called Super Maru-o Sisters?"
"If you thought Chika was a joke, would you see her as Takami-cal?"
"If you stole back a heisted Sakurauchi neso, would you have Riko-uped your losses?"
"Considering Sonoda shines bright as an idol, could you say she's ill-Umi-nating?"
"If you were hungry for Toujou, would she be your Nozomeal?"
"If you had an online video chat with Hanayo, would that be a Koi-zoom-i session?"
"If Ayase did something to embarrass Nozomi, would you say she Eli-cited a reaction from her?"
Would you say that Ohara eats pasta with Mari-nara sauce?
"If Matsuura was a catgirl, would she be Ka-nyan?"
"If Minami took over Japan's former capital, would it become Kyoto-ri?"
"If Ruby's sister was a politician, would she be a Dia-t member?"
"If during an Aqours live, there was a weapon on stage, foreshadowing its use, would it be called Chika-v's Gun?"
"If Watanabe was about to defeat you, would she say ""You-'re finished""?"
"If you were a Hoshizora oshi, would you consider yourself a Rin-tellectual?"
"If you made an Ohara-themed drink with vodka and tomato juice, would it be a Bloody Mari?"
"If Nishikino was a nut, would she be a Maki-damia?"
Would a Nozomi pun be called a Tou-joke?
Would a practical joke by Kunikida be a Hanama-ruse?
"When Ayase dies, would she end up in Eli-sium?"
"If Hoshizora owned a skating arena, would it be a roller Rin-k?"
Would Watanabe say to be true to You-self?
"If Kanata had her own brand of vegetable oil, would it be Konoe-la oil?"
Would Hanamaru's nickname for her girlfriend be Yo-honey?
"If Dia's sister was everywhere at once, would she be Ruby-quitous?"
"If Guilty Kiss and Saint Snow did a collab, would Sakurauchi's gesture become a Riko Leah-ser Beam"
"If Nishikino became more cold and manipulative, would you say she's exhibiting Maki-avellianism?"
"If Watanabe did start producing her brand of You-gurt, would it be called You-plait?"
"If Uehara had her own planet, would it be an Ayu-moon?"
"If Muse really wanted to rub salt in the wound, would they shout TOUDOU-KETE to Erena?"
Would Setsuna oshis call her Yu-king?
Would Emma's spine be called a Verde-brate?
"If Yazawa was more of a fool, would she be a Nico-mpoop?"
"If Miyashita had her own piece of land in the sea, would it be an Ai-sland?"
"If Sonoda caused you to start sweating, could you say there's a high Umi-dity?"
"If the older Kazuno sister had her own brand of plastic, would it be Sarah-n wrap?"
"If you had an Asaka themed date-tracker, would it be a Karin-dar?"
"If Kanan hosted her own costume party, would it be a Matsuurade?"
Would a candle-lit pumpkin carving of Takami be called a Chik-a'-lantern?
"If Kanata was related to Obi-wan, would she be a Konoe-bi?"
Would lewding Ayase be considered Eli-gal?
"If the new LL project was centered around a certain liquid-based food, would it be Love Live Soup-er Star?"
"If Miyashita took over France's most well known landmark, would it become the Ai-ffel Tower?"
"If you cheer for your favorite ships during an idol concert, does that make you a wota-gay?"
Would Honoka-themed alcohol be called Kou-sake?
"If Shioriko was easy to anger, would she be Miff-une?"
Could you say that whoever passes the audition for Keke from Love Live! Superstar!! gets Tang-led up in the franchise?
Would overly excited Kanon oshis from Love Live! Superstar!! call her Shi-booyah?
"If you paired Chisato from Love Live! SuperStar!! with someone else, would that be an Ara-ship?"
"If you were to borrow Hazuki from Love Live! Superstar!! for something, would you be Ren-ting her?"
Would Inami-promoted mikans be called Anju-rines?
"If the walrus became the leader of Aqours, would he be called Uchicchief?"
"If Ayumu's snake was rude and talked back, would it be called Sass-uke?"
Would an Anju from A-RISE themed guitar-like instrument be called a Yuki-lele?
"If Karen and Ai became programmers, would their group be called Diver Diva-lopers?"
"If Emma, Kanata, Kasumi, and Rina became police officers and judged you guilty, would they take you to QU4RTZ?"
"If Miyashita was a technical specialist, would she be in Ai-T?"
"If Takasaki from Nijigaku had her own video streaming service, would it be called Yu-tube?"
"If my collection of Love Live puns was turned into an anime, would it be called Love Live Punshine?"
"If you took Konoe to ACEN, would she be CON-ata?"
"If you were Umi's seiyuu, would you be ME-morin?"
"If Nijigasaki's Osaka went to Wisconsin, would she be CHEESE-uku?"
Seiyuu? More like Sei-You!
Who's the cutest idol? Nico Nico Not Kasukasu.
"Dirty Dan, the Evil Santa: instead of coal, you get Malört!"
"In an ancient language, Hatate means Below, or Bottom."
"If the older Kurosawa was the lead for Coheed and Cambria, would she be Clau-Dia Sanchez?"
"If Ai joined Sunny Passion, would they become Punny Passion?"
"If Hatate was a maid, would she be Maid-tate or Hata-Maid? "
"If Zura was a dog, would they go Zu-ruff? "
"If Hatate had a tail, would it be called her Ha-tail-te?"
"If Yuna and Mao were to go for a jog, would they be Runny Passion?"
Ha-Tate! Mod on that server!
"If Yuna was a baker, would she make Sunny Pan-ssions? "
"If Hatate was a type of bread, would she be a Haguette?"
"If Wien were to play chess, would she play The Vienna Gambit?"
"if Hatate was a fish, would she be a Halibut-te? "
"If Ren played League of Legends, would she play All Ren-dom All Mid?"
"If Hatate and Dia get lost in Tokyo Station, would they be the Kuro-LOST-wa sisters?"
Suwawa got a role in some new Fruit of the Loom commercials. They'll call her Bananaka!
I'm not feeling too well. Can you guys cheer me up?
Which mod always be cappin? Hat-ate!
"When Midori poses for chekis, is it called Greenpeace?"
"If Hanamaru were a dog, would she say “It’s the future, Zuruff!”?"
"If El Condor Pasa’s hawk is named Mambo, but Matikanetannhauser is nicknamed Mambo, would she be a hawk, too?"
"If Taiki Shuttle had a hootenanny in a barn on July 4th, would it be an “in the pen dance day”? "
"If Hatate were to be hard stuck gold in Strinova, would she Stay Gold?"
